msgNo,timeDiff
1,0.042235136
2,0.336570263
3,0.616087437
4,0.972219706
5,1.260767221
6,1.54248929
7,1.860121012
8,2.11272192
9,4.128391743
10,8.157077074
11,11.95044255
12,12.78476715
13,13.07858753
14,13.28449059
15,13.61441541
16,13.86841798
17,14.25172424
18,14.48401976
19,14.68892908
20,15.00357461
21,15.20137906
22,15.50362015
23,15.78490639
24,16.06634521
25,16.45567465
26,16.70942068
27,17.08278465
28,17.387779
29,17.70869398
30,18.01865673
31,21.82952666
32,27.06121898
33,27.72556233
34,28.29162025
35,28.81127024
36,29.09880137
37,29.38655591
38,29.6216979
39,29.9150331
40,30.36535811
41,31.63797045
42,32.00518847
43,32.28808331
44,32.60906649
45,32.92991495
46,37.25628757
47,42.70499325
48,43.41328955
49,43.82910967
50,44.07687402
51,44.43453312
52,44.68073463
53,44.96144676
54,45.20900321
55,45.49864006
56,45.79262853
57,45.96764016
58,46.26471543
59,46.5043273
60,46.72634673
61,46.96610069
62,47.1551857
63,47.49411368
64,47.81756043
65,48.15636754
66,48.44548607
67,51.38405037
68,57.6784327
69,58.33452177
70,59.04250741
71,59.57534289
72,59.87310481
73,61.00299497
74,61.0078434
75,61.01432339
76,61.01900928
77,61.02244829
78,61.0271286
79,61.03152674
80,61.03827321
81,61.04173491
82,61.0462765
83,61.04969826
84,61.05479716
85,61.05800765
86,61.06208525
87,61.06662151
88,61.07144496
89,61.13383968
90,61.22399579
91,61.23516966
92,61.24489262
93,61.25290284
94,61.2575546
95,61.26142077
96,61.2662096
97,61.27161728
98,61.27704175
99,61.28072347
100,61.28551393
101,61.29022876
102,61.29593013
103,61.30114049
104,61.30731755
105,61.31224974
106,61.31756168
107,61.37357554
108,61.47375724
109,61.48214143
110,61.49014777
111,61.50076969
112,61.50483534
113,61.51097115
114,61.51672404
115,61.52057987
116,61.5254063
117,61.5300874
118,61.53421671
119,61.5377982
120,61.54499718
121,61.55051278
122,61.55518817
123,61.56014864
124,61.56558932
125,61.57168016
126,61.63568683
127,61.65980316
128,61.66880068
129,61.67814671
130,61.66847852
131,61.67163552
132,61.67687404
133,61.70919322
134,61.74580803
135,61.75099856
136,61.75607563
137,61.76102337
138,61.76555365
139,61.82831136
140,61.9170511
141,61.92979734
142,61.93963644
143,61.94820565
144,61.95245041
145,61.95701713
146,61.96190649
147,61.96684803
148,61.97221237
149,61.97701437
150,61.98181539
151,61.98759189
152,61.99257688
153,61.9993226
154,62.00426336
155,62.00806126
156,62.05952775
157,62.1313006
158,62.22116195
159,62.23284651
160,62.24287051
161,62.24628606
162,62.25109094
163,62.25589788
164,62.26161442
165,62.26675032
166,62.2707284
167,62.27465605
168,62.2772575
169,62.28054038
170,62.28560769
171,62.29043264
172,62.29498209
173,62.30254296
174,62.34969638
175,62.43580856
176,62.47301062
177,62.4846846
178,62.49044342
179,62.4942926
180,62.49897134
181,62.50260015
182,62.50681696
183,62.51219438
184,62.52335458
185,62.52825638
186,62.53425817
187,62.54255646
188,62.54686567
189,62.55199159
190,62.55651898
191,62.56141037
192,62.56778364
193,62.55598709
194,62.61748217
195,62.7090042
196,62.7154042
197,62.72616955
198,62.73322297
199,62.73838586
200,62.74234501
201,62.74714725
202,62.75693247
203,62.76112597
204,62.76809638
205,62.77642315
206,62.78115877
207,62.78836974
208,62.79281536
209,62.7986866
210,62.80407184
211,62.80828482
212,62.8139903
213,62.87579457
214,62.96695298
215,62.97779049
216,62.98872443
217,62.99618408
218,63.00097675
219,63.0052114
220,63.00960807
221,63.01898607
222,63.02565246
223,63.03024209
224,63.03719407
225,63.04389806
226,63.05000261
227,63.05431166
228,63.05889251
229,63.06335658
230,63.06780547
231,63.07288152
232,63.07694911
233,63.08102355
234,63.0859803
235,63.09152737
236,63.09875704
237,63.15862163
238,63.2525725
239,63.26243451
240,63.27102772
241,63.27814168
242,63.2822777
243,63.28751158
244,63.29135884
245,63.29521348
246,63.29967873
247,63.30465329
248,63.30872584
249,63.31341784
250,63.32303971
251,63.32910133
252,63.33594572
253,63.34205968
254,63.34609301
255,63.36236757
256,63.42597603
257,63.51319214
258,63.52588292
259,63.53498299
260,63.54213076
261,63.54556107
262,63.55148195
263,63.55632036
264,63.56169174
265,63.56735835
266,63.57231243
267,63.5777309
268,63.5875547
269,63.59409652
270,63.60142701
271,63.60824502
272,63.61356827
273,63.62010176
274,63.62452486
275,63.62934663
276,63.67048071
277,63.75461058
278,63.79108397
279,63.80189226
280,63.81108444
281,63.81424624
282,63.81879013
283,63.82277572
284,63.82849527
285,63.8352794
286,63.83952357
287,63.84362684
288,63.84841417
289,63.85487034
290,63.85962569
291,63.86745192
292,63.87353084
293,63.8788254
294,63.8834895
295,63.88912611
296,63.89408593
297,63.89854321
298,63.90287552
299,63.90942863
300,63.97170168
301,64.05967465
302,64.07166092
303,64.08024076
304,64.08824292
305,64.09349014
306,64.09676515
307,64.10188013
308,64.10643383
309,64.11180561
310,64.1152351
311,64.1254341
312,64.1326477
313,64.13834542
314,64.14296832
315,64.147434
316,64.15282442
317,64.15802815
318,64.22249642
319,64.3104
320,64.32231023
321,64.33123509
322,64.33855726
323,64.34234199
324,64.38060905
325,64.39386497
326,64.3981009
327,64.40289316
328,64.40782148
329,64.41705945
330,64.48115373
331,64.56866399
332,64.57887548
333,64.59022381
334,64.59731011
335,64.60099071
336,64.60522721
337,64.61037682
338,64.61544713
339,64.62051459
340,64.62658805
341,64.63272689
342,64.63811351
343,64.65233263
344,64.65756807
345,64.66332477
346,64.66776868
347,64.67423606
348,64.73754009
349,64.82696718
350,64.83765338
351,64.84752505
352,64.84057219
353,64.84525804
354,64.8510705
355,64.85488355
356,64.86055322
357,64.86887722
358,64.87766876
359,64.88267459
360,64.88726192
361,64.89728577
362,64.90145878
363,64.90564229
364,64.90943175
365,64.91463584
366,64.97759207
367,65.06829164
368,65.07893327
369,65.10276889
370,65.10716772
371,65.11259625
372,65.11631581
373,65.12250528
374,65.12980862
375,65.13486462
376,65.1394015
377,65.14385291
378,65.14761224
379,65.15278721
380,65.15704177
381,65.16155401
382,65.1681488
383,65.2358495
384,65.32331761
385,65.33355829
386,65.3487457
387,65.35415757
388,65.36068585
389,65.36546566
390,65.37046569
391,65.37612182
392,65.38150808
393,65.38612439
394,65.38961464
395,65.39595518
396,65.40129724
397,65.40699921
398,65.41242468
399,65.41900404
400,65.48179543
401,65.5722722
402,65.58274566
403,65.60043292
404,65.60466775
405,65.61063041
406,65.61566284
407,65.62130577
408,65.62555501
409,65.628654
410,65.63584197
411,65.64272652
412,65.64880648
413,65.65301843
414,65.65824817
415,65.66276241
416,65.66632653
417,65.67528729
418,65.68716886
419,65.74070194
420,65.82998327
421,65.86857796
422,65.87913935
423,65.88783524
424,65.89263768
425,65.89635262
426,65.90090402
427,65.90534124
428,65.91297834
429,65.91974956
430,65.9322753
431,65.93700747
432,65.95019178
433,66.01411075
434,66.09594835
435,66.10721484
436,66.11413878
437,66.1227242
438,66.12836997
439,66.1338292
440,66.13872878
441,66.14600836
442,66.15263349
443,66.1598682
444,66.16826166
445,66.1727091
446,66.17772423
447,66.18276845
448,66.19385792
449,66.20128616
450,66.20735604
451,66.21123987
452,66.22514592
453,66.28833294
454,66.36774513
455,66.37756243
456,66.38920652
457,66.39388775
458,66.39743467
459,66.40142357
460,66.40526575
461,66.40969315
462,66.41367379
463,66.41837362
464,66.42792517
465,66.43149056
466,66.4371926
467,66.44301628
468,66.44889368
469,66.45468273
470,66.46269624
471,66.46806394
472,66.47436227
473,66.47980748
474,66.4852825
475,66.52160112
476,66.56031318
477,66.64175685
478,66.65241207
479,66.66215809
480,66.67201818
481,66.676707
482,66.67992931
483,66.68469243
484,66.69191955
485,66.70096142
486,66.70817465
487,66.71319291
488,66.71806349
489,66.72503522
490,66.72905233
491,66.73428344
492,66.79479526
493,66.8830427
